lat,lon,row_idx,col_idx,elevation,slope,aspect,twi,curvature,rainfall_24h,rainfall_3h,river_distance,drainage_distance,flow_accumulation,soil_moisture,urban_density,road_distance,facility_distance,LST_C_mean,wind_speed_kmh,wind_gust_kmh,wind_dir_deg,wind_hazard_score,temp_max_C,apparent_temp_C,heat_index_C,uv_index,heat_hazard_score,heat_wave_flag,vegetation_cover,antecedent_rain_mm,factor_of_safety,landslide_susceptibility,in_roi,flood_occurred,landslide_occurred,wind_kmh,temp_C
30.5872,77.8663,127,61,1389.0,48.035557,114.054527,7.327507,-0.1008,88.235879,30.882558,609.639878,600.601645,336.899922,0.2,0.0013,41.594105,13130.373726,12.866164,21.893262,49.440125,105.701624,0.1824,19.49,18.18,19.49,5.8,0.1497,0,0.35,16.766745,0.455,0.4828,1,0,1,21.893262,15.49
30.5872,77.8713,127,62,1209.0,36.890053,187.19635,7.821712,0.12437,88.235879,30.882558,246.770938,369.123874,995.670779,0.2,0.0,135.868548,13179.370586,14.275987,21.671748,49.03351,105.977042,0.1806,20.46,19.14,20.46,5.8,0.182,0,0.35,17.531424,0.732,0.3439,1,1,1,21.671748,16.46
30.5872,77.8763,127,63,997.0,18.435574,312.832825,8.74062,0.12437,88.235879,30.882558,116.10161,34.331194,969.071856,0.2,0.0,138.854763,13245.558116,11.965988,21.450233,48.626895,106.25246,0.1788,21.63,20.3,21.63,5.8,0.221,0,0.35,18.296103,1.822,0.1661,1,1,0,21.450233,17.63
30.5872,77.8813,127,64,1240.0,30.172478,131.932846,8.06043,0.097429,88.235879,30.882558,428.110571,276.1115,733.252941,0.2,0.034,500.195363,13328.680391,11.01393,21.228719,48.22028,106.527877,0.1769,19.84,18.51,19.84,5.8,0.1613,0,0.35,19.060782,0.986,0.2972,1,0,0,21.228719,15.84
30.5872,77.8863,127,65,1089.0,16.748203,165.525589,8.797767,0.097429,88.235879,30.882558,65.238353,11.392465,1007.044478,0.2,0.0,304.11413,13428.423103,12.329989,21.007205,47.813665,106.803295,0.1751,20.62,19.28,20.62,5.8,0.1873,0,0.35,19.825461,2.027,0.1013,1,0,0,21.007205,16.62
30.5872,77.8913,127,66,1182.0,32.673088,349.867462,7.993301,0.097429,88.235879,30.882558,264.535481,127.130859,800.328273,0.2,0.0172,68.252273,13544.41924,12.94137,20.785691,47.40705,107.078713,0.1732,19.81,18.46,19.81,5.8,0.1603,0,0.35,20.59014,0.878,0.4137,1,1,0,20.785691,15.81
30.5872,77.8963,127,67,1211.0,49.097958,276.441376,7.390158,0.072195,88.235879,30.882558,12.070903,46.277931,319.730509,0.2,0.0,174.245455,13676.255409,14.11301,20.564177,47.000435,107.35413,0.1714,19.41,18.06,19.41,5.8,0.147,0,0.35,21.354819,0.433,0.5298,1,0,1,20.564177,15.41
30.5872,77.9013,127,68,1380.0,34.251957,176.833862,7.823274,0.072195,88.235879,30.882558,197.925071,233.124866,451.243616,0.2,0.0,66.213935,13823.478578,14.659763,20.342662,46.59382,107.629548,0.1695,18.11,16.75,18.11,5.8,0.1037,0,0.35,22.119498,0.817,0.3222,1,0,0,20.342662,14.11
30.5872,77.9063,127,69,1376.0,33.667255,175.141663,7.847648,0.153576,89.290386,31.251635,197.9286,144.251406,604.538848,0.2,0.0,146.894833,13985.602992,12.572604,20.121148,46.187204,107.904966,0.1677,17.93,16.56,17.93,5.8,0.0977,0,0.35,22.884177,0.838,0.3172,1,1,0,20.121148,13.93
30.5872,77.9113,127,70,1470.0,25.686556,295.946198,8.116543,0.153576,89.290386,31.251635,346.657712,209.642793,686.366584,0.2,0.0157,58.676039,14162.117063,12.023172,19.899634,45.780589,108.180383,0.1658,17.11,15.74,17.11,5.8,0.0703,0,0.35,23.648857,1.215,0.2935,1,1,0,19.899634,13.11
30.5872,77.9163,127,71,1476.0,34.892509,329.183289,7.741253,0.153576,89.290386,31.251635,789.643167,100.560425,487.547201,0.2,0.0,282.354578,14352.490048,14.197262,19.67812,45.373974,108.455801,0.164,16.86,15.49,16.86,5.8,0.062,0,0.35,24.413536,0.793,0.437,1,0,0,19.67812,12.86
30.5872,77.9213,127,72,1666.0,29.259892,309.468964,7.83425,0.034753,89.290386,31.251635,1259.920133,150.549654,509.361438,0.2,0.0074,23.269221,14556.178351,8.793882,20.748524,47.953192,108.731219,0.1729,16.5,15.12,16.5,5.8,0.05,0,0.35,25.178215,1.021,0.354,1,0,0,20.748524,12.5
30.5872,77.9263,127,73,1821.0,29.712559,310.723694,7.699793,0.034753,89.290386,31.251635,1735.443279,265.889318,697.319744,0.2,0.0,190.14533,14772.631356,10.652006,21.704877,50.282344,109.006636,0.1809,16.3,14.91,16.3,5.8,0.0433,0,0.35,25.942894,0.999,0.3614,1,0,0,21.704877,12.3
